MapCode,SpeciesName,CohortAge,CohortBiomass
1,acerrubr,25,246
1,acerrubr,50,1261
1,betualle,25,116
1,fraxnigr,50,116
2,acersacc,50,533
2,acersacc,75,1564
2,betulent,50,748
2,pinustro,75,10404
2,queralba,75,4409
2,tsugcana,50,528
5,acerrubr,25,510
5,pinustro,50,602
5,pinustro,75,4163
5,pinustro,100,4844
5,queralba,75,2604
5,quercocc,100,2846
8,acerrubr,50,2157
8,acerrubr,75,4764
8,betulent,100,2657
8,fagugran,50,1635
8,queralba,75,617
8,queralba,100,1077
8,quercocc,100,4034
8,ulmuamer,25,536
9,acerrubr,50,2151
9,acerrubr,75,4672
9,fraxamer,50,569
9,fraxamer,75,1168
22,acerrubr,50,1249
22,acerrubr,75,1806
22,pinustro,50,594
22,queralba,50,1271
22,quercocc,50,1060
22,quercocc,75,2147
22,querrubr,75,7375
22,querrubr,100,5531
23,acerrubr,50,403
23,pinustro,50,1471
23,queralba,25,468
23,quercocc,50,380
23,quercocc,75,6298
23,quercocc,100,2678
23,quervelu,50,488
23,quervelu,75,2290
25,acerrubr,25,752
25,acerrubr,50,2516
25,fraxamer,50,567
25,pinustro,50,658
25,pinustro,75,2974
25,queralba,50,1037
25,quervelu,75,7369
26,acerrubr,25,416
26,betulent,25,412
26,pinustro,50,563
26,queralba,50,676
26,queralba,75,558
26,quercocc,50,1399
26,quercocc,75,4759
26,quercocc,100,1729
26,querrubr,75,1363
26,quervelu,50,1731
26,quervelu,75,1269
27,acerrubr,25,759
27,pinustro,25,6911
27,querrubr,25,6800
27,quervelu,25,1951
28,betupopu,25,226
28,fraxamer,25,1937
28,prunsero,50,575
29,acerrubr,50,3875
29,acerrubr,75,3479
29,acerrubr,100,5673
29,betualle,25,635
29,fraxnigr,50,528
29,pinustro,100,4342
29,ulmuamer,50,1439
30,acerrubr,25,1198
30,acerrubr,50,4183
30,acerrubr,75,10367
30,queralba,75,3289
30,tiliamer,50,1856
31,acerrubr,50,1264
31,acerrubr,75,1828
31,betulent,25,1200
31,pinustro,50,803
31,querrubr,50,2230
31,querrubr,75,12971
31,querrubr,100,2016
31,quervelu,75,2891
32,acerrubr,50,1574
32,acerrubr,75,3391
32,betulent,50,363
32,betupapy,50,267
32,fagugran,25,483
32,fagugran,50,1163
32,fagugran,75,780
32,pinustro,50,626
32,querrubr,100,552
33,acerrubr,50,1253
34,betulent,100,8764
34,fagugran,50,1222
34,fagugran,75,1501
34,fagugran,100,3172
34,ostrvirg,75,1415
34,tsugcana,25,1068
34,tsugcana,50,3302
34,tsugcana,75,4664
35,acersacc,50,3247
35,acersacc,75,3285
35,acersacc,100,2151
35,betualle,25,654
35,betualle,50,1087
35,betualle,75,1258
35,fagugran,50,4026
35,fagugran,100,1520
35,fraxamer,75,3146
35,fraxamer,100,8085
35,picerube,25,823
36,acerrubr,75,1188
36,acerrubr,100,989
36,betualle,100,972
36,picerube,75,4767
36,prunsero,75,1408
36,prunsero,100,4570
36,tsugcana,25,593
36,tsugcana,50,1025
36,tsugcana,75,2574
37,acerrubr,50,6582
37,acerrubr,75,894
37,betupapy,50,724
37,fraxamer,25,835
37,fraxamer,75,545
37,pinustro,50,414
37,querrubr,75,1831
37,ulmuamer,25,343
38,acerrubr,25,464
38,queralba,25,210
38,querrubr,50,1260
38,querrubr,75,4563
39,acerrubr,50,2153
39,acerrubr,75,2871
39,betualle,50,942
39,querrubr,50,485
39,tsugcana,25,1679
39,tsugcana,50,5861
39,tsugcana,75,2354
39,ulmuamer,50,400
40,acerrubr,25,658
40,acerrubr,75,2157
40,pinustro,50,795
40,prunsero,50,960
40,querrubr,50,5542
40,querrubr,75,9095
41,acersacc,25,405
41,acersacc,50,701
41,acersacc,75,2212
41,betualle,50,1691
41,caryglab,50,542
41,caryglab,75,1700
41,fraxamer,75,1603
41,queralba,50,4314
41,queralba,75,1704
41,querrubr,50,2075
41,tsugcana,25,1540
42,acersacc,50,9587
42,acersacc,75,5139
