LandisData  PnETSpeciesParameters																												
PnETSpeciesParameters	KWdLit	FolLignin	H1	H2	H3	H4	PsnAgeRed	SLWmax	SLWDel	TOfol	AmaxA	AmaxB	HalfSat	LeafOnMinT	PsnTMin	PsnTOpt	PsnTMax	k	FracBelowG	FracFolShape	FracFol	MaxFracFol	FrActWd  	EstRad	EstMoist	FolN	TOwood	TOroot
abiebals	0.125	0.25	0	4	140	140	5	194	0	0.25	5.3	21.5	150	1.9	0.8	17.1	27	0.5	0.37	6	0.07	0.08	0.000025	0.9756875	1	0.96	0.015	0.038
acerrubr	0.081	0.11	-2	2	143	143	5	85	0.2	1	-46	71.9	181	2.4	1.75	26.5	34.5	0.58	0.35	6	0.019	0.019	0.000025	0.9155597	1	1.56	0.02	0.058
acersacc	0.075	0.11	0	4	143	143	5	75	0.2	1	-46	71.9	150	2.5	1.8	25.3	31	0.58	0.37	6	0.019	0.019	0.000025	0.9757999	1	1.62	0.02	0.058
betualle	0.075	0.11	0	4	146.5	146.5	5	85	0.2	1	-46	71.9	181	2.5	1.8	21.7	30.5	0.58	0.35	6	0.019	0.019	0.000022	0.9153081	1	1.65	0.02	0.048
betulent	0.149	0.15	0	4	146.5	146.5	4	88	0.2	1	-46	71.9	244	3.1	2.5	23.1	32	0.58	0.35	6	0.019	0.019	0.000022	0.7742004	1	2.05	0.03	0.058
betupapy	0.075	0.11	0	4	143	143	4	88	0.2	1	-46	71.9	265	1.75	0.5	18.9	28.5	0.58	0.31	5	0.022	0.022	0.000025	0.7742004	1	1.67	0.015	0.038
betupopu	0.075	0.11	0	4	143	143	4	88	0.2	1	-46	71.9	265	2.2	1.25	21.3	29.9	0.58	0.31	5	0.022	0.022	0.000025	0.7742004	1	1.52	0.015	0.038
caryglab	0.166	0.17	0	4	150	150	5	95	0.2	1	-46	71.9	212.5	3	1.25	25.3	34	0.58	0.33	6	0.019	0.019	0.000025	0.7753334	1	1.43	0.015	0.038
fagugran	0.075	0.24	0	4	146.5	146.5	5	78	0.2	1	-46	71.9	150	2.2	1.7	25.3	34.2	0.58	0.37	6	0.019	0.019	0.000025	0.9769448	1	1.49	0.02	0.048
fraxamer	0.075	0.12	-0.75	3	143	143	5	92	0.2	1	-46	71.9	212.5	2.3	1.2	26.5	34.1	0.58	0.33	6	0.019	0.019	0.000025	0.8436921	1	1.53	0.02	0.038
fraxnigr	0.075	0.12	-5	0.5	143	143	5	92	0.2	1	-46	71.9	244	2.1	1	21	29.5	0.58	0.31	5	0.02	0.021	0.000025	0.7735249	1	1.56	0.015	0.038
larilari	0.125	0.25	-3.3	2	143	143	5	240	0	1	5.3	21.5	244	1.5	0.175	18.5	29.9	0.58	0.29	6	0.04	0.04	0.000025	0.7092568	1	1.75	0.015	0.038
ostrvirg	0.075	0.12	0	4	146.5	146.5	5	90	0.2	1	-46	71.9	150	2.5	1.25	25.3	34.1	0.58	0.37	6	0.02	0.0205	0.000025	0.8436921	1	1.28	0.015	0.048
piceglau	0.125	0.25	0	4	150	150	5	250	0	0.2	5.3	21.5	212.5	1.5	0.175	18	26.6	0.5	0.33	6	0.076	0.077	0.000021	0.8462486	1	0.88	0.02	0.058
picemari	0.125	0.25	-3.3	2	143	143	5	260	0	0.2	5.3	21.5	212.5	1.5	0.175	18	26.6	0.5	0.33	6	0.076	0.076	0.000021	0.8458839	1	0.7	0.02	0.048
picerube	0.125	0.25	0	4	146.5	146.5	5	225	0	0.2	5.3	21.5	150	2.5	1.8	21.5	29	0.5	0.37	6	0.07	0.07	0.000025	0.8458839	1	0.68	0.015	0.048
pinubank	0.063	0.25	0	4	150	150	4	250	0	0.272	5.3	21.5	244	1.75	0.5	17.5	28.1	0.5	0.29	5	0.078	0.078	0.000025	0.71	1	1.38	0.03	0.038
pinuresi	0.125	0.25	0	4	143	143	5	250	0	0.4	5.3	21.5	244	2.25	1.3	18.9	28.2	0.5	0.31	5	0.082	0.082	0.000025	0.778695	1	1.1	0.015	0.038
pinurigi	0.063	0.25	0	4	150	150	5	265	0	0.3333	5.3	21.5	275	3.1	2.4	24.1	32	0.5	0.33	5	0.088	0.088	0.000025	0.7145047	1	0.79	0.015	0.038
pinustro	0.125	0.25	0	4	143	143	5	240	0	0.4	5.3	21.5	212.5	2.3	1.4	21.5	30	0.5	0.34	6	0.074	0.074	0.000025	0.8474451	1	0.96	0.02	0.048
pinutaed	0.125	0.25	0	4	150	150	5	250	0	0.3333	5.3	21.5	244	4.25	3.7	28.7	35	0.5	0.33	6	0.078	0.078	0.000025	0.8474451	1	0.78	0.015	0.038
popubals	0.107	0.16	-0.5	4	143	143	4	110	0.2	1	-46	71.9	275	1.6	0.3	15.1	29	0.58	0.29	5	0.024	0.024	0.000025	0.7108291	1	1.85	0.025	0.058
popugran	0.107	0.16	-1	3	143	143	4	120	0.2	1	-46	71.9	275	2.3	1.4	23.5	31	0.58	0.29	5	0.022	0.022	0.000025	0.7108263	1	1.85	0.025	0.058
poputrem	0.107	0.16	0	4	143	143	4	120	0.2	1	-46	71.9	275	1.6	0.3	19.8	29.8	0.58	0.29	5	0.022	0.022	0.000025	0.7108291	1	1.9	0.025	0.058
prunsero	0.125	0.25	0	4	146.5	146.5	5	99	0.2	1	-46	71.9	244	2.8	2.2	26	34.5	0.58	0.31	6	0.019	0.019	0.000025	0.7755955	1	1.67	0.02	0.058
queralba	0.063	0.18	0	4	150	150	5	102	0.2	1	-46	71.9	244	3	1.25	26.7	34	0.58	0.34	6	0.019	0.019	0.000023	0.7754244	1	1.85	0.02	0.048
quercocc	0.05	0.17	0	4	150	150	5	102	0.2	1	-46	71.9	244	3.5	2.9	25.5	33	0.58	0.34	6	0.02	0.02	0.000025	0.7746364	1	1.74	0.03	0.048
querprin	0.17	0.26	0	4	150	150	5	96	0.2	1	-46	71.9	212.5	3.2	2.6	25.7	33.3	0.58	0.34	6	0.018	0.018	0.000022	0.7746364	1	1.99	0.02	0.048
querrubr	0.075	0.17	0	4	146.5	146.5	5	90	0.2	1	-46	71.9	212.5	2.5	1.25	25.6	34.1	0.58	0.34	6	0.019	0.019	0.000025	0.8454757	1	1.73	0.015	0.048
quervelu	0.17	0.18	0	4	143	143	5	87	0.2	1	-46	71.9	212.5	3.15	2.625	26.4	34.4	0.58	0.33	6	0.019	0.019	0.000025	0.84498	1	1.9	0.015	0.048
thujocci	0.125	0.25	-1	3	143	143	5	240	0	0.4	5.3	21.5	212.5	2.2	1.25	21.3	29.9	0.5	0.35	6	0.06	0.06	0.000022	0.8459984	1	0.83	0.02	0.048
tiliamer	0.075	0.12	0	4	146.5	146.5	5	82	0.2	1	-46	71.9	181	2.4	1.7	24	32.2	0.58	0.35	6	0.017	0.017	0.000021	0.9160052	1	1.9	0.03	0.058
tsugcana	0.024	0.25	0	4	140	140	5	178	0	0.3	5.3	21.5	150	2.5	1.8	21	29.5	0.5	0.37	6	0.055	0.06	0.000025	0.9770963	1	0.971	0.015	0.048
ulmuamer	0.075	0.12	-1	3	146.5	146.5	5	93	0.2	1	-46	71.9	212.5	2.25	1.3	25.3	35	0.58	0.35	6	0.018	0.018	0.000022	0.8439652	1	2.29	0.03	0.058
